text,tokenized,tokenized_str,cluster
wheres the brother hoods,"['wher', 'broth', 'hood']",wher broth hood,3
we dont want another israel happen here even they all muslim,"['dont', 'want', 'anoth', 'israel', 'hap', 'ev', 'muslim']",dont want anoth israel hap ev muslim,1
imigran gelap rohingnya tidak tahu rasa terima kasih mereka sering melanggar norma dan aturan adat istiadat warga aceh yang menjalankan syariat islam kalau rohingya adala umat muslim harusnya dia punya adab menghargai aturan yang ada di aceh,"['imigr', 'gelap', 'rohingny', 'tidak', 'tahu', 'ras', 'terim', 'kasih', 'merek', 'ser', 'melangg', 'norm', 'dan', 'at', 'ad', 'istiad', 'warg', 'aceh', 'yang', 'menjalank', 'syary', 'islam', 'kalau', 'rohingy', 'adal', 'um', 'muslim', 'harusny', 'dia', 'puny', 'adab', 'mengharga', 'at', 'yang', 'ad', 'di', 'aceh']",imigr gelap rohingny tidak tahu ras terim kasih merek ser melangg norm dan at ad istiad warg aceh yang menjalank syary islam kalau rohingy adal um muslim harusny dia puny adab mengharga at yang ad di aceh,2
fk unhcr,"['fk', 'unhcr']",fk unhcr,3
this people dont respect local people believe me,"['peopl', 'dont', 'respect', 'loc', 'peopl', 'believ']",peopl dont respect loc peopl believ,1
i pray not face such a situation in my life,"['pray', 'fac', 'situ', 'lif']",pray fac situ lif,3
you cant say rohingya are refugees because they came by the method of giving some payment to the human trafficking mafia in bangladesh these are all categorized under illegal immigrants of course as immigrants should not enter an area without clear data such as passports or visas so rohingya are precisely referred to as illegal immigrants on the other hand with palestine or afghanistan they are in a state of war raging please understand before creating a title so that your channel is not considered a channel that has no understanding in this matter,"['cant', 'say', 'rohingy', 'refug', 'cam', 'method', 'giv', 'pay', 'hum', 'traffick', 'maf', 'bangladesh', 'categ', 'illeg', 'immigr', 'cours', 'immigr', 'ent', 'are', 'without', 'clear', 'dat', 'passport', 'visa', 'rohingy', 'prec', 'refer', 'illeg', 'immigr', 'hand', 'palestin', 'afgh', 'stat', 'war', 'rag', 'pleas', 'understand', 'cre', 'titl', 'channel', 'consid', 'channel', 'understand', 'mat']",cant say rohingy refug cam method giv pay hum traffick maf bangladesh categ illeg immigr cours immigr ent are without clear dat passport visa rohingy prec refer illeg immigr hand palestin afgh stat war rag pleas understand cre titl channel consid channel understand mat,3
kami bersimpati kepada saudara sebangsa dan saudara muslim kami orang aceh semoga tetap kuat untuk menghadapi gempuran orang orang ilegal ini dan selalu diberikan kesabaran dan jangan emosi untuk orang rohingya jangan coba coba kalian datang ke indonesia kalian belum tau kalau rakyat indonesia marah yaa,"['kam', 'bersimpat', 'kepad', 'saudar', 'sebangs', 'dan', 'saudar', 'muslim', 'kam', 'orang', 'aceh', 'semog', 'tetap', 'kuat', 'untuk', 'menghadap', 'gemp', 'orang', 'orang', 'ileg', 'in', 'dan', 'selalu', 'diberik', 'kesab', 'dan', 'jang', 'emos', 'untuk', 'orang', 'rohingy', 'jang', 'cob', 'cob', 'kal', 'datang', 'ke', 'indones', 'kal', 'bel', 'tau', 'kalau', 'raky', 'indones', 'marah', 'ya']",kam bersimpat kepad saudar sebangs dan saudar muslim kam orang aceh semog tetap kuat untuk menghadap gemp orang orang ileg in dan selalu diberik kesab dan jang emos untuk orang rohingy jang cob cob kal datang ke indones kal bel tau kalau raky indones marah ya,2
as an indonesia were very displeased and disturbed with rohingya refugees despite our attempt of giving them food and shelter they throw them out to the sea and complaining about the food,"['indones', 'displeas', 'disturb', 'rohingy', 'refug', 'despit', 'attempt', 'giv', 'food', 'shelt', 'throw', 'sea', 'complain', 'food']",indones displeas disturb rohingy refug despit attempt giv food shelt throw sea complain food,1
bakar aja kapal meraka bg kita hdp mau makan nassi piring aja susah mau tampung meraka lagi kita kebanjiran kena seroja bantua indomie telur makan sampe tumbu bisul meraka enak saja mkn ayam sayur lagi nasinya kurang lagi coba meraka sandar di ntt sampe langsung kita bakar,"['bak', 'aj', 'kap', 'merak', 'bg', 'kit', 'hdp', 'mau', 'mak', 'nass', 'pir', 'aj', 'susah', 'mau', 'tampung', 'merak', 'lag', 'kit', 'kebanjir', 'ken', 'seroj', 'bantu', 'indom', 'tel', 'mak', 'samp', 'tumbu', 'bis', 'merak', 'enak', 'saj', 'mkn', 'ayam', 'say', 'lag', 'nasiny', 'kurang', 'lag', 'cob', 'merak', 'sand', 'di', 'ntt', 'samp', 'langsung', 'kit', 'bak']",bak aj kap merak bg kit hdp mau mak nass pir aj susah mau tampung merak lag kit kebanjir ken seroj bantu indom tel mak samp tumbu bis merak enak saj mkn ayam say lag nasiny kurang lag cob merak sand di ntt samp langsung kit bak,2
bakar kapal meraka aja bg,"['bak', 'kap', 'merak', 'aj', 'bg']",bak kap merak aj bg,3
this is not a burmese problem it is not a british problem and it is only an indonesian problem and a malaysian problem in as much as they follow the same religion it is an islamic problem the rohingya never bothered to learn burmese or any of the other indigenous languages of myanmar they never integrated with the country and they persistently agitated for an islamic state in rakhine state which is clearly unacceptable to the majority there furthermore they have failed to practice birth control in the camps which is why they are so overcrowded several hundred thousand rohingya were born in the camps their language is closely related to the chittagong language in bangladesh and they are culturally similar to bangladeshis one of the very few things that most of the warring factions in myanmar agree in is that they agree with the removal of the rohingyathe only two viable options are that they are integated into bangladeshi society with financial support from the islamic world or they are relocated to islamic countries,"['burmes', 'problem', 'brit', 'problem', 'indones', 'problem', 'malays', 'problem', 'much', 'follow', 'relig', 'islam', 'problem', 'rohingy', 'nev', 'both', 'learn', 'burmes', 'indig', 'langu', 'myanm', 'nev', 'integr', 'country', 'persist', 'agit', 'islam', 'stat', 'rakhin', 'stat', 'clear', 'unacceiv', 'maj', 'furtherm', 'fail', 'pract', 'bir', 'control', 'camp', 'overcrowd', 'sev', 'hundr', 'thousand', 'rohingy', 'born', 'camp', 'langu', 'clos', 'rel', 'chittagong', 'langu', 'bangladesh', 'cult', 'simil', 'bangladesh', 'on', 'thing', 'war', 'fact', 'myanm', 'agr', 'agr', 'remov', 'rohingyath', 'two', 'viabl', 'opt', 'integ', 'bangladesh', 'socy', 'fin', 'support', 'islam', 'world', 'reloc', 'islam', 'country']",burmes problem brit problem indones problem malays problem much follow relig islam problem rohingy nev both learn burmes indig langu myanm nev integr country persist agit islam stat rakhin stat clear unacceiv maj furtherm fail pract bir control camp overcrowd sev hundr thousand rohingy born camp langu clos rel chittagong langu bangladesh cult simil bangladesh on thing war fact myanm agr agr remov rohingyath two viabl opt integ bangladesh socy fin support islam world reloc islam country,3
ngapain kayak gini enakan nyamar jadi pengungsi seperti orang bangladesh yang miskin moral serta miskin senyum modal naik perahu tanpa identitas di kasih tempat tinggal gratis makan kali sehari uang bulanan juta tanpa kerja bahkan kabarnya mau dikasih pulauwalaupun makanan nya ga cukup tapi emang dia rakus,"['ngapain', 'kayak', 'gin', 'enak', 'nyam', 'jad', 'pengungs', 'sepert', 'orang', 'bangladesh', 'yang', 'miskin', 'mor', 'sert', 'miskin', 'seny', 'mod', 'naik', 'perahu', 'tanp', 'identita', 'di', 'kasih', 'temp', 'ting', 'grat', 'mak', 'kal', 'sehar', 'uang', 'bul', 'jut', 'tanp', 'kerj', 'bahk', 'kabarny', 'mau', 'dikasih', 'pulauwalaupun', 'mak', 'nya', 'ga', 'cukup', 'tap', 'emang', 'dia', 'rak']",ngapain kayak gin enak nyam jad pengungs sepert orang bangladesh yang miskin mor sert miskin seny mod naik perahu tanp identita di kasih temp ting grat mak kal sehar uang bul jut tanp kerj bahk kabarny mau dikasih pulauwalaupun mak nya ga cukup tap emang dia rak,2
kami warga indonesia masyarakat indonesia gak mengijinkan ada pengusi di indonesia sampai kiyamat sekalipun kami warga indonesia ga akan ijinkan ada pengungsi luar masuk indonesia ingat itu,"['kam', 'warg', 'indones', 'masyarak', 'indones', 'gak', 'mengijink', 'ad', 'pengus', 'di', 'indones', 'sampa', 'kiyam', 'sekalipun', 'kam', 'warg', 'indones', 'ga', 'ak', 'ijink', 'ad', 'pengungs', 'luar', 'masuk', 'indones', 'ing', 'itu']",kam warg indones masyarak indones gak mengijink ad pengus di indones sampa kiyam sekalipun kam warg indones ga ak ijink ad pengungs luar masuk indones ing itu,2
when europeans protest this behavior the are called racist when asians protest this we call it common sense got to love those double standards,"['europ', 'protest', 'behavy', 'cal', 'rac', 'as', 'protest', 'cal', 'common', 'sens', 'got', 'lov', 'doubl', 'standard']",europ protest behavy cal rac as protest cal common sens got lov doubl standard,3
usirrr keluar nkri,"['usirr', 'kelu', 'nkri']",usirr kelu nkri,3
kami negara hukum siapa saja masuk negara kami tanpa data tidak boleh itu sudah melanggar hukum negara kami dan hukum internasonal kami punya hak atas negara kami tidak ada yang berhak mengatur hukum kami sebab itu rumah kamidan perlu di mengerti di pahami dunia negara kami tidak berikan pernyataan bahwa negara kami adalah rumah penampungan pengunsi permanen dan menetap selama nyadan kami tidak layak anggaran kami keuangan kami dan lain lain di peruntuhkan buat pelarian pengunsi ini bukan masalah kami ini masalah organisasi dunia yang layak seperti itukami bukan tak punya agama apa lagi tidak punya rasa kemanusiankami hanya menjaga dan mencintai negri kami dari orang orang yang tak jelas mengatas namakan agama dan kemanusiaan,"['kam', 'negar', 'huk', 'siap', 'saj', 'masuk', 'negar', 'kam', 'tanp', 'dat', 'tidak', 'boleh', 'itu', 'sudah', 'melangg', 'huk', 'negar', 'kam', 'dan', 'huk', 'internason', 'kam', 'puny', 'hak', 'ata', 'negar', 'kam', 'tidak', 'ad', 'yang', 'berhak', 'meng', 'huk', 'kam', 'sebab', 'itu', 'rumah', 'kamid', 'perlu', 'di', 'mengert', 'di', 'paham', 'dun', 'negar', 'kam', 'tidak', 'berik', 'pernyata', 'bahw', 'negar', 'kam', 'adalah', 'rumah', 'penampung', 'penguns', 'perm', 'dan', 'menetap', 'selam', 'nyad', 'kam', 'tidak', 'layak', 'angg', 'kam', 'keuang', 'kam', 'dan', 'lain', 'lain', 'di', 'peruntuhk', 'buat', 'pel', 'penguns', 'in', 'buk', 'masalah', 'kam', 'in', 'masalah', 'organisas', 'dun', 'yang', 'layak', 'sepert', 'itukam', 'buk', 'tak', 'puny', 'agam', 'ap', 'lag', 'tidak', 'puny', 'ras', 'kemanusiankam', 'hany', 'menjag', 'dan', 'mencinta', 'negr', 'kam', 'dar', 'orang', 'orang', 'yang', 'tak', 'jela', 'mengata', 'namak', 'agam', 'dan', 'kemanusia']",kam negar huk siap saj masuk negar kam tanp dat tidak boleh itu sudah melangg huk negar kam dan huk internason kam puny hak ata negar kam tidak ad yang berhak meng huk kam sebab itu rumah kamid perlu di mengert di paham dun negar kam tidak berik pernyata bahw negar kam adalah rumah penampung penguns perm dan menetap selam nyad kam tidak layak angg kam keuang kam dan lain lain di peruntuhk buat pel penguns in buk masalah kam in masalah organisas dun yang layak sepert itukam buk tak puny agam ap lag tidak puny ras kemanusiankam hany menjag dan mencinta negr kam dar orang orang yang tak jela mengata namak agam dan kemanusia,2
let me remind people here indonesia never take part in un convention about refugees and has no part in protocol so indonesia is not obligated to shelter them these people however the rohingya that recently came to aceh is not refugees from myanmar these people is the victim of human trafficking and not stranded here they are planned to be trafficked to indonesia they are illegal imigrants from the shelter in bangladesh un you take back this people even if indonesian or malaysian start to butcher them there is no law can justify this two countries they are illegal immigrant and not grateful for what the people of indonesia have done for them …,"['let', 'remind', 'peopl', 'indones', 'nev', 'tak', 'part', 'un', 'conv', 'refug', 'part', 'protocol', 'indones', 'oblig', 'shelt', 'peopl', 'howev', 'rohingy', 'rec', 'cam', 'aceh', 'refug', 'myanm', 'peopl', 'victim', 'hum', 'traffick', 'stranded', 'plan', 'traffick', 'indones', 'illeg', 'imigr', 'shelt', 'bangladesh', 'un', 'tak', 'back', 'peopl', 'ev', 'indones', 'malays', 'start', 'butch', 'law', 'just', 'two', 'country', 'illeg', 'immigr', 'grat', 'peopl', 'indones', 'don', '…']",let remind peopl indones nev tak part un conv refug part protocol indones oblig shelt peopl howev rohingy rec cam aceh refug myanm peopl victim hum traffick stranded plan traffick indones illeg imigr shelt bangladesh un tak back peopl ev indones malays start butch law just two country illeg immigr grat peopl indones don …,1
the rohingya ethnicity often throws tantrums they do not know to be grateful food donated by residents is thrown away many protest that the food given is small even though acehnese themselves live in poverty and hunger there have been cases of rohingya youth raping their rohingya girls in exile they often run away from censorship naturally acehnese people are afraid because they are afraid of increasing crime in aceh,"['rohingy', 'ethn', 'oft', 'throws', 'tantrum', 'know', 'grat', 'food', 'don', 'resid', 'thrown', 'away', 'many', 'protest', 'food', 'giv', 'smal', 'ev', 'though', 'acehnes', 'liv', 'poverty', 'hung', 'cas', 'rohingy', 'you', 'rap', 'rohingy', 'girl', 'exil', 'oft', 'run', 'away', 'cens', 'nat', 'acehnes', 'peopl', 'afraid', 'afraid', 'increas', 'crim', 'aceh']",rohingy ethn oft throws tantrum know grat food don resid thrown away many protest food giv smal ev though acehnes liv poverty hung cas rohingy you rap rohingy girl exil oft run away cens nat acehnes peopl afraid afraid increas crim aceh,1
it should be explained that aceh at first was very accepting of the rohingya ethnicity but after they accepted well the attitude of the rohingya ethnicity they didnt even know thank you and did not respect the locals they often threw tantrums they arbitrarily threw away the food given they complained that the food given to the rohingya ethnicity was very decent and luxurious for us acehnese people even though many acehnese live poorly and starving,"['explain', 'aceh', 'first', 'acceiv', 'rohingy', 'ethn', 'acceiv', 'wel', 'attitud', 'rohingy', 'ethn', 'didnt', 'ev', 'know', 'thank', 'respect', 'loc', 'oft', 'threw', 'tantrum', 'arbit', 'threw', 'away', 'food', 'giv', 'complain', 'food', 'giv', 'rohingy', 'ethn', 'dec', 'luxury', 'us', 'acehnes', 'peopl', 'ev', 'though', 'many', 'acehnes', 'liv', 'poor', 'starv']",explain aceh first acceiv rohingy ethn acceiv wel attitud rohingy ethn didnt ev know thank respect loc oft threw tantrum arbit threw away food giv complain food giv rohingy ethn dec luxury us acehnes peopl ev though many acehnes liv poor starv,1
we dont want indonesia face the same thing like palestine in the future,"['dont', 'want', 'indones', 'fac', 'thing', 'lik', 'palestin', 'fut']",dont want indones fac thing lik palestin fut,1
refuse,['refus'],refus,3
its better rohingya peoples back myanmar or bangladeshrohingya peoples is the bangladesh community,"['bet', 'rohingy', 'peopl', 'back', 'myanm', 'bangladeshrohingy', 'peopl', 'bangladesh', 'commun']",bet rohingy peopl back myanm bangladeshrohingy peopl bangladesh commun,1
thank you al jazeeranow im happy the world see that indonesian dont want rohingya to come to our country again and againtake rohingya out from indonesiafor unhcr i want to say fk you,"['thank', 'al', 'jazeeranow', 'im', 'happy', 'world', 'see', 'indones', 'dont', 'want', 'rohingy', 'com', 'country', 'againtak', 'rohingy', 'indonesiaf', 'unhcr', 'want', 'say', 'fk']",thank al jazeeranow im happy world see indones dont want rohingy com country againtak rohingy indonesiaf unhcr want say fk,1
but you still would not want to relate to how people in western countries feel about massive refugees with so much difference in culture and religion,"['stil', 'would', 'want', 'rel', 'peopl', 'western', 'country', 'feel', 'mass', 'refug', 'much', 'diff', 'cult', 'relig']",stil would want rel peopl western country feel mass refug much diff cult relig,1
fyiprov aceh is the poorest province in indonesiaso dont give them any cases any more,"['fyiprov', 'aceh', 'poorest', 'provint', 'indonesiaso', 'dont', 'giv', 'cas']",fyiprov aceh poorest provint indonesiaso dont giv cas,3
say no to rohingyakatakan tidak kepada rohingya,"['say', 'rohingyakatak', 'tidak', 'kepad', 'rohingy']",say rohingyakatak tidak kepad rohingy,3
we reject the rohingya not because of human rights issues racial or religious differences but because their behavior is very bad they threw away aid damaged camps polluted fish ponds dumped samoah carelessly slandered harassed volunteers even though we have prioritized helping them over our relatives we provide houses allowances free electricity free water free education free health care when many of our relatives are still in need rohingya are cowards who ran away from the battlefield they have no patriotism and they are never grateful these are the facts the world needs to know,"['reject', 'rohingy', 'hum', 'right', 'issu', 'rac', 'religy', 'diff', 'behavy', 'bad', 'threw', 'away', 'aid', 'dam', 'camp', 'pollut', 'fish', 'pond', 'dump', 'samoah', 'careless', 'sland', 'harass', 'volunt', 'ev', 'though', 'priorit', 'help', 'rel', 'provid', 'hous', 'allow', 'fre', 'elect', 'fre', 'wat', 'fre', 'educ', 'fre', 'heal', 'car', 'many', 'rel', 'stil', 'nee', 'rohingy', 'coward', 'ran', 'away', 'battlefield', 'patriot', 'nev', 'grat', 'fact', 'world', 'nee', 'know']",reject rohingy hum right issu rac religy diff behavy bad threw away aid dam camp pollut fish pond dump samoah careless sland harass volunt ev though priorit help rel provid hous allow fre elect fre wat fre educ fre heal car many rel stil nee rohingy coward ran away battlefield patriot nev grat fact world nee know,3
kami bangsa indonesia tidak menerima rohingyaallahu akbaarrrrrrmerdekaaaaa atau matiiiiimerdekaaaa indonesiaaaa,"['kam', 'bangs', 'indones', 'tidak', 'menerim', 'rohingyaallahu', 'akbaarrrrrrmerdekaaaa', 'atau', 'matiiiiimerdekaaa', 'indonesiaaa']",kam bangs indones tidak menerim rohingyaallahu akbaarrrrrrmerdekaaaa atau matiiiiimerdekaaa indonesiaaa,2
dont look at it from the perspective of refugees look at the indonesian people there are still many who are still poor and suffering the refugees who come are human traffickers by irresponsible individuals international media is increasingly adding to the problem with its news,"['dont', 'look', 'perspect', 'refug', 'look', 'indones', 'peopl', 'stil', 'many', 'stil', 'poor', 'suff', 'refug', 'com', 'hum', 'traffick', 'irrespons', 'individ', 'intern', 'med', 'increas', 'ad', 'problem', 'new']",dont look perspect refug look indones peopl stil many stil poor suff refug com hum traffick irrespons individ intern med increas ad problem new,1
stop rohingya plss,"['stop', 'rohingy', 'plss']",stop rohingy plss,3
harusnya mereka angkat senjata ke pada militer myanmar hidup terhina mati secara terhormat,"['harusny', 'merek', 'angk', 'senjat', 'ke', 'pad', 'milit', 'myanm', 'hidup', 'terhin', 'mat', 'secar', 'terhorm']",harusny merek angk senjat ke pad milit myanm hidup terhin mat secar terhorm,2
terus galang persatuan wahai rakyat aceh satukan kekuatan kalian tolak pengungsi rohingya gelar demo tolak rohingya sampai mereka semuanya tak ada satupun yg tersisa awas ada agenda asing yg mencoba bermain diaceh kususnya indonesia umumnya awasss ada agenda asing yang sedang di jalankan usirrrr tanpa pandang bulu u s i r r r,"['ter', 'galang', 'persatu', 'waha', 'raky', 'aceh', 'satuk', 'keku', 'kal', 'tolak', 'pengungs', 'rohingy', 'gel', 'demo', 'tolak', 'rohingy', 'sampa', 'merek', 'semuany', 'tak', 'ad', 'satupun', 'yg', 'tersis', 'awa', 'ad', 'agend', 'as', 'yg', 'mencob', 'bermain', 'diaceh', 'kususny', 'indones', 'umumny', 'awasss', 'ad', 'agend', 'as', 'yang', 'sedang', 'di', 'jalank', 'usirrr', 'tanp', 'pandang', 'bulu', 'u', 'r', 'r', 'r']",ter galang persatu waha raky aceh satuk keku kal tolak pengungs rohingy gel demo tolak rohingy sampa merek semuany tak ad satupun yg tersis awa ad agend as yg mencob bermain diaceh kususny indones umumny awasss ad agend as yang sedang di jalank usirrr tanp pandang bulu u r r r,2
them we support our muslim brothers in palestine also them get out in our homeland rohingya muslim,"['support', 'muslim', 'broth', 'palestin', 'also', 'get', 'homeland', 'rohingy', 'muslim']",support muslim broth palestin also get homeland rohingy muslim,0
come on read the lines the boat depart from bangladesh there were no refugeee only illegal immigrant from bangladesh all of them already holder of unhcr card for refugees from bangladesh how many time must we accept the rohingya being refugees does not made them a right to breach indonesian border and landed,"['com', 'read', 'lin', 'boat', 'depart', 'bangladesh', 'refug', 'illeg', 'immigr', 'bangladesh', 'already', 'hold', 'unhcr', 'card', 'refug', 'bangladesh', 'many', 'tim', 'must', 'acceiv', 'rohingy', 'refug', 'mad', 'right', 'breach', 'indones', 'bord', 'land']",com read lin boat depart bangladesh refug illeg immigr bangladesh already hold unhcr card refug bangladesh many tim must acceiv rohingy refug mad right breach indones bord land,3
the history of the arrival of israel jews to palistine ast the time became a warning of the indonesian people and nationso it is natural that the indonesian and people reject the arrival of bangladeshi rohingya illegal immigrant for the sake of the peace of the indonesian people and nationbravo indonesian peopleunited to defend the integrity sove reignty the country is fixed peice,"['hist', 'ar', 'israel', 'jew', 'palistin', 'ast', 'tim', 'becam', 'warn', 'indones', 'peopl', 'nationso', 'nat', 'indones', 'peopl', 'reject', 'ar', 'bangladesh', 'rohingy', 'illeg', 'immigr', 'sak', 'peac', 'indones', 'peopl', 'nationbravo', 'indones', 'peopleunit', 'defend', 'integr', 'sov', 'reignty', 'country', 'fix', 'peic']",hist ar israel jew palistin ast tim becam warn indones peopl nationso nat indones peopl reject ar bangladesh rohingy illeg immigr sak peac indones peopl nationbravo indones peopleunit defend integr sov reignty country fix peic,1
