text,cluster
rakyat aceh jgnbofohmerekqsecarahalusmetekabrmaum njajahberdslilkemanusiaantindak tegart faw seperti dimiamar,1
indonesia dan malaysia perlu bergabong menghalang kemasokan rohinya ke rantau ini 🙁😠😡,1
a hrefhttpswwwyoutubecomwatchvesjxkrrqahttpswwwyoutubecomwatchvesjxkrrqaa,1
berartisamasepertiorangyamnygadadinegarakita,1
mau kemana ya klu g mau kembali lg negaranya sendiri y biar kn aja hidup di laut namanya aja rohingya ini muslim tpi kebanyakan nya g tahu baca fatehah,1
klo menderita dari dahulu knp bikin anak trs,1
ngapain kita nampung mereka pun diusir dr negara ya,1
sebenarnya kasihan kalau misalnya atau kami bisa nampung tp kalau ribuan maaf kami punya keterbatasan yg maha tanpa batasan hanyalah allah mintalah kepd allah wahai pengungsi rohinya,1
pendatang rohinia tu adalah orang yahudi kenapa di tampung di indonesia pendatang haram pulak tu nan menjajah indonesia seperti israil ayo pulang kan ke negara nya sebelum terlambat,0
usir mereka kembali karana awalnya tigal lama menyatu dng masyarak indonesia lalu buat kacau,1
harusnya ke ingrisdan sebetulnya dgn jumlah orang bnyak begitu harusnya mereka melawancari cara atau buat senjata buat melawan myanmarjgn cmn produksi anak teruslebih baik berperang dari pada terluntalunta,1
awasbrorangrohinyamengalahkanbangsaindonesiadiadariindiabangladespakistannegaranyapadat,1
malas dgr sejara orang sana kasi kembali ke negaranya pemerinta ini kenapa melempem rakyat maju semua bahaya suda,1
waspada masyarakat indonesia dunia netizen internasional melihat menilai akalsehat propaganda agen mossad peliharaan dolar sinagong belanda israel ingris lihatlah sejarah palestina yahudi sejarah indonesia sejarah perlawanan masyarakat indonesia bersatu jilid dgn tkr dan mujahid pejuang waspada kaum penjajah memboncengi imigran gelap dari yaman india tamil burma rohingya yg di latih oleh kaum penjajah inggris belanda dulunya,0
ular kok dipelihara lambat laun ya menggigit tuan nya sampe mati,1
terserah kemanausir saja pengkhianatrohingyaharusnya penjajah inggrislah yg hrs bertanggung jwbunhcradalah produk penjajahkok d tampung mending menampung anjing bisa setiadr pd rohingya,1
usir sajaimigran gelap karena rohingya ini sering jd pembelot pngkhiatkembalikan saja itu tanggung jawab penjajah inggrisitu yg dtng di indonesia adalah bentuk modus penjajan baru,0
kita dukung secepatnya pemerintah dan uhncr untuk mengembalikan pengungsi rohingya di kedua negara ya itu banglades dan mienyenmar semua negara asean harus ikut mengurusi untuk demi kebaikanjanganlah pemerintah mienyenmardendam sama rohing kasian anak keturunan yg nggak tau apa apa jadi korban belajarlah sama negara indonesia nggak ada dendam kisah kisah dahulu semoga nantinya orang rohing bisa di data kependudkan atau ktp agar kedepanya lebih baik jika tidak di akui sebagai warga seterusnya terlontang lantung siapa yang di susahkan negara kita nkri,0
ya allah semoga orang rohingnya mendapat tempat dan kewarganegaraan supaya tidak terombang ambing,1
usir rohingnya ilegal,1
suruh ke negara palestina ajah woedisana biar ikut membantu kemerdekaan negara palestinasayakira kalok mereka ikut membantu dan berjuang dinegara palestine kemungkinan besar mereka akan lebih dihargai dan diterimah dengan baikdaripada di idn yg bisa menimbulkan kerusuhan,1
kl dr jaman dulu kenapa kok br sekarang ngungsinya bro usir aja lah bikin masalah indonesia aja,1
yajuz dan majuz mulai datang,1
maaf bukannya tidak mempunyai jiwa keprimanusiaan tetapi orang rohingya bisa berbahaya jika di biarkan bebas di indonesia orang indonesia itu terlalu baik dan kebaikan orang indonesia bisa saja disalahgunakan mereka orang rohingya bisa saja datang dan beranak pinak di indonesia barulah orang indonesia terutama orang aceh di usir dan terjajah di negeri sendiri lihat sejarah israel dan palestina sudah di tolong malah menjajah kita tidak tahu bagaimana kedepannya tetapi alangkah lebih baiknya kita mencegah dari sekarang jangan sampai sejarah penjajahan terulang kembali jangan sampai indonesia terjajah di negeri sendiri jika terjadi penjajahan negara ikut rugi terutama rakyat yang akan hidup menderita tolak rohingya,0
bersukaurlah kita tdk di takdirkan seperti rakyat rohingya mau gimanapun mereka itu jga manusiadan mahkluk ciptaan alloh swt yg lagi kena musibah dan menjalani takdirnya klo tdk bisa bantu atau tk mau bantu jganlah di hujat kita doakan aja yg terbaik bagi mahluk alloh swt ini yg ber etnis rohingya ini😭😭😭😭😭,1
jgn ributbrdi indonesia ada yg jadi pahlawan buat rohingyabrjadi nanti tambah pahlawan di indonesia harus masuk sejarahbrini namanya pahlawan penghianat dari indonesia buat rohingyabrbrakhir cerita rohingya minta disediakan tanah minta dibangun kan kota minta merdeka minta dibentuk negara buat rohingya puas buat penghianatbrindonesia dapat apa,0
ini unhcr rohingya bukan pengungsi yg sebenarnya mereka ingin dapat belas kasihan pemerintah indonesia dan mereka ingin menempat tinggal di indonesia dan setelah banyak mereka berada di indonesi mereka akan mendapat kekuatan dan lamalama mereka bisa menguasai negara indonesia dan menjajah negri ini yg kita cintaibrbrmaka usir orang rohingya secepatnya jangan di tundatunda,0
semoga rohingya semakin bnyak dtang ke indonesia khusus ke aceh ingatkah kalian waktu kadrun bersama rakyat aceh demo kepresidenan thun katanya presiden pki dll smpai demo berjilid presidenpemerintah mentri dulu sudah menolak tp kumpulan kadrun bersama rakyat aceh demo besaran skrang ya dpkai alat utuk mereka,0
ya buang aja di laut buat makan ikan biar cpt gededari pada jadi sampah dimanamanalelepin yg mau dtg ke nkri,1
etnis rohingya minta tanah di malaysia itu hoax beritanya ustadz,1
di makkah saja diusir mereka bukan muslim,1
maap pak ustadz mereka itu ngaku islam tapi bukan islam ditanya kalimat syahadat gak tau gak solat dan gak ngaji dikasih makan warga aceh malah dibuang berak sembarangan di tambak warga kalu islam gak mungkin melakukan hal tersebut dimana bumi di pijak di situ langit dijunjung,1
pantes aj mereka di sebut teroris tp anehnya bangsa indonesia dulu banyak yg ga terima mereka di cap teroris 😂 sampe bakar bendera myanmar,1
kaca mata nasionalisme keberadaan pengungsi rohingya di anggap masalah dlm konteks nasionalisme mareka tdk akan pernah mendapatkan hak sbg mn halnya manusia misalnya hak hidup hak tempat tinggal kl indonesia paham islam rohingnya paham islam ya tdk ada masalah apa apa kalau rohingnya menetap di indonesia karena ada ikatan akidah islam yg meniscayakan semua muslim bersaudara tp karena ikatan kebangsaan yg sdh tentu rohingnya di anggap sbg orang lain mau menjajah rohingnya butuh pertolongan rohingya korban genosida di arakan rohingya korban pemerkosaan oleh tentara myanmar seharusnya tidak hanya muslim aceh yg mesti sadar pemerintah jg harus jauh lebih menyadarinya segera menangani rohingya,0
bodoh kamu bawak berita yg ke indonesia itu bukan rohiya bangla dia pura pura rohiya untuk menipu indonesia tujuan mereka bukan ke indonesia,0
orang muslim kok nggak bisa shahadat shalat nggak bisa shalawat pun juga nggak bisa muslim apa itu😂😂❤❤,1
hidup ditengah lautan saja,1
pulangkan saja,1
knapa gak langsung ke bangladez aja ya 😢,1
mau mereka beragama brislam kristen budha hindu atau agama apa saja mereka harus diusir karena masuk ke indonesia secara ilegalbrdan bisa terjadi konflik dengan masyarakat indonesia,0
tidak semua juga rohinnya jahat jangan di pukul rata,1
udah kek gitu masih bisa beranak pinak ancen kecoa,1
kenapa nggak dimerdekakan aja pbb seeprti timorleste,1
awasjg bawaquot agama rittp bersatutak ada alasanroheng usirk alaskatuman,1
kembalikan aja ke india,1
rohinggya di bantai myanmarbrkarena nenek moyangnya dulu antek penjajahsama hal nya imigran yaman di indonesia dulu antek penjajah belanda seandainya di myanmar pasti di bantai juga imigran yaman,1
mereka bukan korban tpobrkorban tpo tiada unchr menunggu untuk carikan mereka tempat beristrihat bila sampai 😝brkalau tpo samapai samai saja terus dijualbrlagipun kalangan pendatang rohingya ini ramai lelaki dan perempuan tua mana mungkin tpo ambil orang tuabrmangsa sebenar ialah malaysia dan indonesia brkami dipaksa unchr menerima rohingya dgn menggunakan alsan mereka semua tpo padahal mereka bayar juta rupyah untuk naik kapal kayu itu datang ke sinibrmalaysia dan indonesia tidak terikat dgn perjanjian unchr untukmenerima mereka brkami terima kerana kasihanbrnampalnya rasa kasihan kami sudah diambil kesempatan beratus ribu dari rakhin dan coxs bazar sedang bergerak menuju ke rantau kami adakah kami kena bela mereka semuabrenough is enoughbrkami sudah hilang rasa kasihan sebab perangai rohingya yg buruk di malaysia mengemis dan beranak macam lipas lepas itu enggan patuh peratoran di negara kami brmereka pelarian sementara sepatutnya tidak boleh tinggal sampai tahun sementara bererti sejejap bukan selamanyabr bila sudah ramai dan lama menetao mereka mintak diberikan hak persamaan kerakyatan pendidikan dan hospital percuma macam kami rakyat pembayar cukaibrsiapa kamu wajar dapat semua ini,0
seharusnya inggris tidak tutup mata,1
pengungsi ini jgn kita pandang dari agama nya tapi dari kemanusiaan nya saja mereka sudah terlanjur datang suka atau tidak suka harus kita tolong walaupun dgn rasa terpaksa kita serahkan saja kpd pemerintah utk mengatasi nya🙏,1
intinya penjajah itu kejam dan yg lebih kejam dijajah oleh bangsa sndiri,1
itu orang pamalas minggat dr negarany gak mau kerja pergi mau cadong ke di indonesia usirlah 😅😅😅😅,1
jangan tertipubra hrefhttpsyoutubeqescmdsiafdqgethkkvmjuhttpsyoutubeqescmdsiafdqgethkkvmjua,1
sana pergi ke pulau kosong tak berpenghuni trus dikelola dasar rohingya pemalas maunya tinggal nempati dan gratis,1
pokoknya rohingya usir dr tanah indonesia secepatnya,0
pindahkan saja ke alaska disana minim penghuni 😂,1
etnis rohignya tak punya martabat krn tak mau belajar hidup dr bangsa lain bgmn cara hidup rukun damai toleransi gotong royong dg etnis lain mampus semua kalian rohignya sampah,1
inti poinnya saja negara kita sudah mulai hancurdan hancurnya negara kita dr sini lah bermula imigran gelap rohingya atau banglades,0
para pejabat dan pemerintah kl mikir pakai otak jgn pkai kontol anda itu makan dri duit rakyt bukan dari banglades warga aceh patroli di laut berjaga demi mencegah binatang gelap banglades masuk di negara kitabritu warga bukan aparat br brtp anda lebih ptg memikirkan penjajah binatang banglades menampung rohingyabrktmbg mikir rakytmu sendiribrbranda waraaaaassssssss,1
apapun alasannya mau agama islamkristen budhahindu dan etnis rohingyaindonesia tdk ada kepentingan dgn para etnis rohingya lbh baik deportasi mrk semua kemyanmarmau dibantaigak itu urusan myanmar bukan urusan indonesiadan indonesia tdk terikat dgn perjanjian dgn unhcr anak emas pbb persetan dgn itu semuausirrr mrk semua dari bumi indonesia 🇮🇩🇮🇩uraaaaaaaaaa,0
di dunia ni kan bnyak pulau kosong walaupun dh jadi milik suatu negara berikanlah ke mereka soal gimana mereka berhidup itu urusan mereka anggap saja macam suku pedalaman gitu,1
kalau rajin buka info ttg rohingya ada juga imigran rohingya yg mukim di makkah tapi shelter mereka kumuh dan org rohingya jorok jd di sana pun tdk disukai sdh dibuatkan bangunan permanen di bashan char dan cox bazaar bangladesh dari dana unhcr tdk ada keharusan indonesia utk terima mereka jd boleh diusir dan kembalikan ke cox bazaar atau bashanchar di bangladesh unhcr hrs tgjwb,0
tidak smua rohinyia islam jangan dampe ada di indonesia mereka tidak bisa di atur usir rohingiya dari indonesia,0
suruh ke benua antartika masih banyak yang kosong,1
dah dibilangin pulangkan saja mereka sebagian biar yang lain gak ikutan menyusul berdatangan ke indonesia kasih limit tampung kalau dah limit kelebihannya harus di pulangkan ke negaranya,1
jadilah org baik tp jgn terlalu baikakhirnya bisa di manfaatinnih udh kejadianterlalu baik dtg segeroyokan ke indonesiadi kasih mkndi penuhi kebutuhannyamalah ada yg sampe kawinberanak pinakakhirnya ngelunjakdatang lg bawa rombongan lbh bnyk lgbahayanyapny rencana buat menetap di indonesiaujung nya susah kan ngusir tuh rombongan yg dateng terus anusirlahayo pemerintah yg tegasunhcr oonenak bgt indinesia yg di bebankan,1
jangan diusir pak kasih tempat dirumah alumnus pa yg lpernah demo bela rohingya dan demo salah in pemerintah habib riziq bahar smith habib novel ikhlas kok menerima mereka yg cantik,1
mereka bukan mau indoneia mereka mau ke malaysia atau australia makanya mereka di aceh banyak yang kabur ke malaysia tapi malah pemerintah indonesia tangkap lagi gkmana si,0
di bangladesh jumlahnya banyak dan udah udah merusak ekosistem hutan,1
usir aja udh biar negara kita aman,1
dulu israel seperti mereka,1
usir sblm terjadinya kaya israel dan palestina,1
sebaiknya rohingya di usir dari indonesia suatu saat akan terjadi apa yang tak dinginkan di nkri ini mengulang kembalibrsaat keturunan rohingya menjadi kewarganegaraan indonesia gerakan kemerdekaan kembali di tanah sumatra,0
udah lah warga aceh klo tidak di dengarkan oleh pemerintah setempat dan pemerintah indonesia coba untuk warga aceh minta pisah dari indonesia saja pasti langsung ketar ketir tuh pemerintah,0
sdh terbukti mereka itu bukan pengungsi tapi mereka itu imigran gelap bisnis unhcr,1
jangan samakan menetap di indonesia,0
pulangkan saja ke negara mereka,1
kejahatan itu tdk ada yg indah dosa ya dosa haram ya haram kriminal ya kriminal mau dia illuminati juga kena pelanggaran ham apa lagi mafia dan penjahat itu lebih jelas lagi harus di cegah dan dilarang,1
usir ajah deh bertahap dgn alasan illegal imigrant dan tdk cocok dgn nkridari pada nanti masalah kdpn mening dari awal menolak kedatangannya bawa ke negri asal nya di wilayah india atau sekitar nyaitu sajah dan saya tdk akan terlalu ikit campur urusan negara hanya nkri mesti dispilin thd kejahatan kriminal dan pelanggaran ham puji mafia patrol ini mesti dalam list dpo aparat hukum berbahaya utk rakyat nkri karena semena mena menggunakan cara mafia dan illuminati yg menentang hukum negara dan hukum agamatdk bisa di biarkan jika sampai terjadi kematian perampokan merugiakan org yg tdk bersalah itu tdk boleh jgn di bilang sempurna atau tdk ini memang harus begitu saya rasa tdk tepat klu bicara kemanusiaan tapi pelanggaran penjahatmafia group puji ini berbuata semena mena begitu tdk bisa di maafkan karena pasti akan mereka lakukan kejahatanya kelak maka harus di tangkap di penjarakan seumur hidupitu sajah nurut selamat ga nurut silahkan rasakan akibatnya tanggung sendiri,1
sy berani taruhan kalo rohingya di izinkan menetap d indonesia rakyat aceh sendiri yg sengsaralama lama bernak pinakmenikah sama peibumihilang lah ras indonesia asliindo banglades,0
kalo semua d dasari kemnusiaan y gimna paksekalian tampung orng orng yg lagi perang,1
orng indonesia masih banyak yg terlunta lunta dan kelaparantermasuk d kampung sayagk ada kerjaanharaga harga neroket a hrefhttpterusniterusnia malah menampung orng lainlihat d jakrta orng korea dri puluhan jumlahnya sampe ratusan mungkin sampe ribuanmereka beli tanah lahanorng pribumi jadi gembel,1
usir dan kembalikan di negara asal mereka agar kedaulatan negara tidak hancur,1
pak mahfud tolong lah pak sya aja bertahun susah cari kerja cari makan kok mereka seenak jidat dtg mkn gratis dapat uang gratis tiap bulan sya denger astaga,1
kok bisabisanya rohingnya masuk wilayah indonesia padahal kita kan punya angkatan laut maritim yang selalu patroli wilayah perairan indonesia kemana aja mereka tolong pak menhan di kondisikan dulu,0
dari pada di suruh pulang lebih baik biarkan pengunsi rohingya mengolah rawa di indonesia untuk membuat sawah agar indonesia tidak lagi mengimpor beras dari myanmar br😊😊🙏🙏🙏,0
apaapaan ini kita aja rakyat indonesia aja banyak yang kesusahan mau nyari makan aja harus kerja duludan memenuhi kebutuhan hidup lah ini imigran gelap datengquot dikasih makan gratis dikasih tempat tinggal gratis makan porsi nya banyak gitu masih aja gak bersyukur benerbener nih rohingya harus diusir sih sebelum makin banyak jangan sampe indonesia dijajah kayak palestina nampung israel lamakelamaan mereka yang menguasai tanah kita dulu pahlawan kita memperjuangkan negara kita agar indonesia merdeka lah ini ada lagiihh dah greget gw sama pemerintah dan unhcr😑😑,0
a hrefhttpswwwyoutubecomwatchvesjxkrrqahttpswwwyoutubecomwatchvesjxkrrqaa,1
bentar lagi juga mereka akan memberontak,1
😂😂😂😂😂😂😂😂,1
kon tol woyyy orang tua kita berdarah darah menderita memperjuangkan kemerdekaan indonesia bukan quotlari dari tanah sendiriquotbrhusir rohingya kalau mereka ingin punya kelangsungan hidup seharusnya mereka memperjuangkan tanah mereka brbrrohingya tidak mungkin diserang jika tidak bersalah brartinya mereka datang ke indonesia hanya menambah masalah,0
punya kaki punya tangan pd gk punya tujuan hidupdasar rohingya beban negara tolak rohingya dr nkri,0
mana pihak berwenang brap tidak tau jalur mengurus ktpbrhmmmm,1
🥱🥱🥱🥱🥱,1
sesuai janji presiden bahwa dalam seminggu kaum ini hengkang dari nkri tinggal hari pantau terus naikkan dan jadikan tekananbrbrpara ustadz ulama ormas parpol publik figur capres wapres yang dulu teriakteriak keadilan bagi rohingya tolong diikuti sertakan dalam rombongan repatriasi karena sesungguhnya mereka pengkhianat nkribrbrnkri adalah hak kedaulatan penuh bagi wni jika pemerintah tidak menepati janjinya jangan salahkan jika rakyat turun bergerakbrbrunhcr amnesti international kham adalah lembaga asing yang sama sekali tak berhak mendikte suatu negara usir mereka dari bumi nkri tangkap kaki tangan mereka dan hukum seberatberatnya karena mengacaukan nkri dengan teror imigran gelap bisa saja sebentar lagi mereka akan dimobilisasi untuk memberontak dan perang di indonesia brbrkemanusiaan belas kasihan adalah norma indonesia telah melakukan yang terbaik sesuai sila kedua pancasila dengan memberi bantuan darurat yang diperlukan mereka sendirilah yang tidak memanusiakan dirinya dan orang lainbrbrwaspada ada tangan asing dan antekanteknya orang indonesia yang ingin nkri hancur dan akhirnya dianeksasibrbrunhcr amnesti international dan kaki tangannya di indonesia sudah mulai eskalasi dengan terus memasukkan kaum jahiliah ini mereka memanfaatkan celah waktu disaat akan pemilu jangan terkecohbrbrrakyat harus terus pantau mahasiswa intelektual siapapun yang masih memiliki nasionalisme jangan mau dikelabuhi,0
bantai aja napa sih goblok bener,1
tegas dong pak usir semuanya lebih baik kasih bantuan sama rakyat sendiri yang jutaan orang miskin gak punya rumah,1
masak sebanyak orng gk bisa meperjuangkan nagara ny mau ny ngungsi ke negara orng ada apabr,1
unchr bubarkan aja ga guna,1
banyak prindapan dong di indo,1
ini untuk orang rohingya jika kamu orang rohingya bangun peradabanmu sendiri dengan dimulai dari memperjuangkan pendidikan bbukan untuk semua anakanak kalianb tapi cari anak muda yg iq tinggi karena kalian tidak bisa membebankan negara orang lain untuk pendidikan anak kalian mintalah kesempatan pendidikan untuk anakanak pilihan kalian jangan hanya menuntut kebutuhan hidup ingat pendidikan untuk anak pilihan saja binalah anak pilihan itu menjadi pemimpin yg mampu mengatur rakyat kalian sendiri di tanah kalian di pulau yg diperuntukkan warga kalian di cox bazaarbrnegeri indonesia itu direbut dari penjajah dengan jutaan nyawa rakyatnya kami makan dengan bekerja keras pantang meminta selebihnya kami hidup sesuai dengan kemampuan kami brpemerintah indonesia mengurusi rakyatnya brpemerintah malaysia pun mengurusi rakyatnya sendiribrnegara lain pun samabrbentuklah pemimpin yang akan mengurusi rakyat rohingya kalian sendiri brbangunlah peradaban kalian hingga tak ada lagi yang merendahkan kalian ingat tidak akan direndahkan oleh orang lain jika kalian pun bersifat sebagai orang yg mulia yang tau akhlak dan batas sebagai pendatangtamu brtidak bisa kalian selalu datang dan meminta belas kasihan tapi kalian sendiri menyerobot tanah dimana pun kalian tinggal itulah masalahnya brsetiap jengkal tanah di indonesia malaysia thailand itu hasil perjuangan kami atas penjajah dan menjadi hak kami masingbrwarga negara saja bangun rumah dari tanah waris atau membeli tanah kalian main datang dan seenaknya saja membangun rumah perkampungan hanya bermodal kasihanbritulah kenapa kalian selalu di hinabrmaka rubahlah itu jika kalian tidak ingin dihina setiap saatbrini bukan hinaan tapi penyemangat bagi kalian,0
ini ribuan dan bisa pukuhan ribu orang rohingya menuju indonesia kok kayaknya pada pasrah ajasemangat pak tni al latian yel yel nya lebih semgat lagi biar rakyat aja yg urus itu berat,0
udahh kaya suasana di india jadinya kumuhh semenjak kedatangan mereka,1
kalau ri tidak bisa usir rohogya bagaimana kalau ri d rebut rohigya seremkan warga nagara asli indonesia tergusur d negara sendiri,1
wajar dong mereka datang minta perlindungan kpda saudara seimanyakan dulu sering demo² teriak² save rohingya saudara seiman😂😂😂,1
tunggu penuhhapa tuggu proses😂,1
kl berhak menolak ya udah pak cepat bertindak tunggu apalagi,1
rudal saja pak,1
sesama manusia harus saling memahami persoalan yang terjadi semoga pak md dan pemerintah makin bijaksana menyelesaikan persoalan ini ya pak rohingya dan rakyat indonesia samasama perlu diperhatikan pak,0
indonesia trlalu drama bertele liat noh australia gercep ga ad tuh acara mendarat sgla lngsung aj disuruh kmbali ke laut lg demi negarany klu indo srg dipindah mereka akan berak dimana ke indonesia mlh ninggalin tai di laut indonesia mana makanny bnyk lg pst tai nya jg segede gaban,1
pak mahfut jagnan cuman ngumung douang pak mahfud kan masih punya jabatan mentri,1
kalo punyak hk untung mengusir kok malah ber dangan pengung si nya,1
