text,tokenized,tokenized_str,cluster
semoga allah swt menolong saudara kita iniallah swt menganugerahi kita bangsa indonesia dengan bnyk sekali nikmattanah yg luas daratan yg sangat bnyk ribu pulau lebih yg allah swt titikan ke indonesia bahkan ribu yg baru di gunakan oleh rakyat kitaingat klu kita dzolim allah murka namun klu kita bersyukur insyaallah kasih sayang allah berupa bekhah akan selalu menyelimuti kita bangsa indonesia dari sabang sampai meraukeingatlah kita adalah suatu bangsa yg besar kita selalu membela siapa saja yg di zolimikita bnyk mendengar mereka pengungsi rohingya tersebut mengeluh ini dan itu saya bisa memahaminya mereka tidak pernaherasakan yg namanya senang mungkin mereka berfikir saudara di indonesia bisa sedikit membantu dan melapangkan merekamungkin itulah yg mereka fikirkan pada awalnyatpi sayangnya saudara kita ada yg mulai lelah berbuat baik terhadap merekasaya paham mungkin saudara kita yg di indonesia mulai capek karena pengungsi hanya di tampung di pengundian yg ada di indonesiaharusnya pemerintah kita segera mencari jln keluarnyamungkin akan lebih bijaksana bila pemerinta mencari solusinya tidak membiarkan bangsa kita kelelahan yg berujung konflik dan juga tidak membiarkan pengungsi ini makin menderitasaya berdoa semoga allah swt yg maha penolong menolong kita semuanya unk menemukan jln keluar yg tidak merugikan kedua bela pihak bagaimana pun juga allah swt memperindahkan kita untuk menolong manusia apalagi mereka adalah muslimartinya mereka saudara seimanapa yg skan kita jawab nantinya jika allah swt bertanya tentang rohingya ke kita muslim infonesiasudahlah kita siap dengan jawabanyaberilah kami petunjuk dan pertolongan ya allah,"['semoga', 'allah', 'swt', 'menolong', 'saudara', 'iniallah', 'swt', 'menganugerahi', 'bangsa', 'bnyk', 'nikmattanah', 'luas', 'daratan', 'bnyk', 'ribu', 'pulau', 'allah', 'swt', 'titikan', 'ribu', 'rakyat', 'kitaingat', 'klu', 'dzolim', 'allah', 'murka', 'klu', 'bersyukur', 'insyaallah', 'kasih', 'sayang', 'allah', 'bekhah', 'menyelimuti', 'bangsa', 'sabang', 'meraukeingatlah', 'bangsa', 'membela', 'zolimikita', 'bnyk', 'mendengar', 'pengungsi', 'rohingya', 'mengeluh', 'memahaminya', 'pernaherasakan', 'namanya', 'senang', 'berfikir', 'saudara', 'membantu', 'melapangkan', 'merekamungkin', 'fikirkan', 'awalnyatpi', 'sayangnya', 'saudara', 'lelah', 'berbuat', 'merekasaya', 'paham', 'saudara', 'capek', 'pengungsi', 'tampung', 'pengundian', 'indonesiaharusnya', 'pemerintah', 'mencari', 'jln', 'keluarnyamungkin', 'bijaksana', 'pemerinta', 'mencari', 'solusinya', 'membiarkan', 'bangsa', 'kelelahan', 'berujung', 'konflik', 'membiarkan', 'pengungsi', 'menderitasaya', 'berdoa', 'semoga', 'allah', 'swt', 'maha', 'penolong', 'menolong', 'unk', 'menemukan', 'jln', 'merugikan', 'bela', 'allah', 'swt', 'memperindahkan', 'menolong', 'manusia', 'muslimartinya', 'saudara', 'seimanapa', 'skan', 'allah', 'swt', 'rohingya', 'muslim', 'infonesiasudahlah', 'jawabanyaberilah', 'petunjuk', 'pertolongan', 'allah']",semoga allah swt menolong saudara iniallah swt menganugerahi bangsa bnyk nikmattanah luas daratan bnyk ribu pulau allah swt titikan ribu rakyat kitaingat klu dzolim allah murka klu bersyukur insyaallah kasih sayang allah bekhah menyelimuti bangsa sabang meraukeingatlah bangsa membela zolimikita bnyk mendengar pengungsi rohingya mengeluh memahaminya pernaherasakan namanya senang berfikir saudara membantu melapangkan merekamungkin fikirkan awalnyatpi sayangnya saudara lelah berbuat merekasaya paham saudara capek pengungsi tampung pengundian indonesiaharusnya pemerintah mencari jln keluarnyamungkin bijaksana pemerinta mencari solusinya membiarkan bangsa kelelahan berujung konflik membiarkan pengungsi menderitasaya berdoa semoga allah swt maha penolong menolong unk menemukan jln merugikan bela allah swt memperindahkan menolong manusia muslimartinya saudara seimanapa skan allah swt rohingya muslim infonesiasudahlah jawabanyaberilah petunjuk pertolongan allah,1
dilema antara kemanusiaan kesejahteraan nkri,"['dilema', 'kemanusiaan', 'kesejahteraan', 'nkri']",dilema kemanusiaan kesejahteraan nkri,1
mohon dibantu utk volume narasi nya bisa ditambah lebih keras sedikit pak ustadz bila menggunakan headset telinga tdk kuat maklum faktor u,"['mohon', 'dibantu', 'volume', 'narasi', 'ditambah', 'keras', 'ustadz', 'headset', 'telinga', 'kuat', 'maklum', 'faktor']",mohon dibantu volume narasi ditambah keras ustadz headset telinga kuat maklum faktor,1
dasar rohingya gak ada akalsudah tau gak punya tanah yang dikerjakan selalu kawin beranak kawin beranak sajaseharusnya pakai pikiran kecuali gak ada otak,"['dasar', 'rohingya', 'akalsudah', 'tau', 'tanah', 'kawin', 'beranak', 'kawin', 'beranak', 'sajaseharusnya', 'pakai', 'pikiran', 'kecuali', 'otak']",dasar rohingya akalsudah tau tanah kawin beranak kawin beranak sajaseharusnya pakai pikiran kecuali otak,1
lok dh hbz bahan novel soulland ganti novel soulland minlmyn jauh juga novelnya,"['lok', 'dh', 'hbz', 'bahan', 'novel', 'soulland', 'ganti', 'novel', 'soulland', 'minlmyn', 'novelnya']",lok dh hbz bahan novel soulland ganti novel soulland minlmyn novelnya,1
usir rohing nya dari tanah ibu pertiwi indonesia jangan mau orang indonesia d jadikan budak sm rohing nyausir usir rohing nya,"['usir', 'rohing', 'tanah', 'pertiwi', 'jadikan', 'budak', 'sm', 'rohing', 'nyausir', 'usir', 'rohing']",usir rohing tanah pertiwi jadikan budak sm rohing nyausir usir rohing,1
nenek moyangnya pengkhianat negara sekarang ditanggung keturunannya ngeri nasib pengkhianat anehnya kelakuannya ikut seperti nenekmoyangnya,"['nenek', 'moyangnya', 'pengkhianat', 'negara', 'ditanggung', 'keturunannya', 'ngeri', 'nasib', 'pengkhianat', 'anehnya', 'kelakuannya', 'nenekmoyangnya']",nenek moyangnya pengkhianat negara ditanggung keturunannya ngeri nasib pengkhianat anehnya kelakuannya nenekmoyangnya,2
q hanya berdoa moga allah memberi kekutan kesbaran daan tempat bagi mereka kita boleh gk suka sama mereka tapi ingat dia uga hamba allah hnya pemdosa,"['q', 'berdoa', 'moga', 'allah', 'kekutan', 'kesbaran', 'daan', 'gk', 'suka', 'uga', 'hamba', 'allah', 'hnya', 'pemdosa']",q berdoa moga allah kekutan kesbaran daan gk suka uga hamba allah hnya pemdosa,1
udah ada kabar kapal sedang menuju aceh harusnya udah ada persiapan dong penjaga pantai untuk mengusir org rohingnia itu kok kesannya di biarkan saja kasian warga aceh kian resah daerahnya jadi penuh penduduk gelap dari rohangnia,"['udah', 'kabar', 'kapal', 'aceh', 'udah', 'persiapan', 'penjaga', 'pantai', 'mengusir', 'rohingnia', 'kesannya', 'biarkan', 'kasian', 'warga', 'aceh', 'kian', 'resah', 'daerahnya', 'penuh', 'penduduk', 'gelap', 'rohangnia']",udah kabar kapal aceh udah persiapan penjaga pantai mengusir rohingnia kesannya biarkan kasian warga aceh kian resah daerahnya penuh penduduk gelap rohangnia,4
etnik rohingyah kamprek sekarang susahkan indonesia,"['etnik', 'rohingyah', 'kamprek', 'susahkan']",etnik rohingyah kamprek susahkan,1
rakyat aceh jgnbofohmerekqsecarahalusmetekamaum njajahberdslilkemanusiaantindak tegart faw seperti dimiamar,"['rakyat', 'aceh', 'jgnbofohmerekqsecarahalusmetekamaum', 'njajahberdslilkemanusiaantindak', 'tegart', 'faw', 'dimiamar']",rakyat aceh jgnbofohmerekqsecarahalusmetekamaum njajahberdslilkemanusiaantindak tegart faw dimiamar,4
indonesia dan malaysia perlu bergabong menghalang kemasokan rohinya ke rantau ini,"['malaysia', 'bergabong', 'menghalang', 'kemasokan', 'rohinya', 'rantau']",malaysia bergabong menghalang kemasokan rohinya rantau,1
berartisamasepertiorangyamnygadadinegarakita,['berartisamasepertiorangyamnygadadinegarakita'],berartisamasepertiorangyamnygadadinegarakita,1
mau kemana ya klu g mau kembali lg negaranya sendiri y biar kn aja hidup di laut namanya aja rohingya ini muslim tpi kebanyakan nya g tahu baca fatehah,"['kemana', 'klu', 'lg', 'negaranya', 'biar', 'kn', 'hidup', 'laut', 'namanya', 'rohingya', 'muslim', 'tpi', 'kebanyakan', 'baca', 'fatehah']",kemana klu lg negaranya biar kn hidup laut namanya rohingya muslim tpi kebanyakan baca fatehah,1
klo menderita dari dahulu knp bikin anak trs,"['menderita', 'bikin', 'anak', 'trs']",menderita bikin anak trs,2
ngapain kita nampung mereka pun diusir dr negara ya,"['ngapain', 'nampung', 'diusir', 'negara']",ngapain nampung diusir negara,1
sebenarnya kasihan kalau misalnya atau kami bisa nampung tp kalau ribuan maaf kami punya keterbatasan yg maha tanpa batasan hanyalah allah mintalah kepd allah wahai pengungsi rohinya,"['kasihan', 'nampung', 'ribuan', 'maaf', 'keterbatasan', 'maha', 'batasan', 'allah', 'mintalah', 'kepd', 'allah', 'pengungsi', 'rohinya']",kasihan nampung ribuan maaf keterbatasan maha batasan allah mintalah kepd allah pengungsi rohinya,2
pendatang rohinia tu adalah orang yahudi kenapa di tampung di indonesia pendatang haram pulak tu nan menjajah indonesia seperti israil ayo pulang kan ke negara nya sebelum terlambat,"['pendatang', 'rohinia', 'tu', 'yahudi', 'tampung', 'pendatang', 'haram', 'pulak', 'tu', 'nan', 'menjajah', 'israil', 'ayo', 'pulang', 'negara', 'terlambat']",pendatang rohinia tu yahudi tampung pendatang haram pulak tu nan menjajah israil ayo pulang negara terlambat,1
usir mereka kembali karana awalnya tigal lama menyatu dng masyarak indonesia lalu buat kacau,"['usir', 'karana', 'tigal', 'menyatu', 'dng', 'masyarak', 'kacau']",usir karana tigal menyatu dng masyarak kacau,1
harusnya ke ingrisdan sebetulnya dgn jumlah orang bnyak begitu harusnya mereka melawancari cara atau buat senjata buat melawan myanmarjgn cmn produksi anak teruslebih baik berperang dari pada terluntalunta,"['ingrisdan', 'bnyak', 'melawancari', 'senjata', 'melawan', 'myanmarjgn', 'cmn', 'produksi', 'anak', 'teruslebih', 'berperang', 'terluntalunta']",ingrisdan bnyak melawancari senjata melawan myanmarjgn cmn produksi anak teruslebih berperang terluntalunta,1
awasorangrohinyamengalahkanbangsaindonesiadiadariindiabangladespakistannegaranyapadat,['awasorangrohinyamengalahkanbangsaindonesiadiadariindiabangladespakistannegaranyapadat'],awasorangrohinyamengalahkanbangsaindonesiadiadariindiabangladespakistannegaranyapadat,1
malas dgr sejara orang sana kasi kembali ke negaranya pemerinta ini kenapa melempem rakyat maju semua bahaya suda,"['malas', 'dgr', 'sejara', 'kasi', 'negaranya', 'pemerinta', 'melempem', 'rakyat', 'maju', 'bahaya', 'suda']",malas dgr sejara kasi negaranya pemerinta melempem rakyat maju bahaya suda,1
waspada masyarakat indonesia dunia netizen internasional melihat menilai akalsehat propaganda agen mossad peliharaan dolar sinagong belanda israel ingris lihatlah sejarah palestina yahudi sejarah indonesia sejarah perlawanan masyarakat indonesia bersatu jilid dgn tkr dan mujahid pejuang waspada kaum penjajah memboncengi imigran gelap dari yaman india tamil burma rohingya yg di latih oleh kaum penjajah inggris belanda dulunya,"['waspada', 'masyarakat', 'dunia', 'netizen', 'internasional', 'menilai', 'akalsehat', 'propaganda', 'agen', 'mossad', 'peliharaan', 'dolar', 'sinagong', 'belanda', 'israel', 'ingris', 'lihatlah', 'sejarah', 'palestina', 'yahudi', 'sejarah', 'sejarah', 'perlawanan', 'masyarakat', 'bersatu', 'jilid', 'tkr', 'mujahid', 'pejuang', 'waspada', 'kaum', 'penjajah', 'memboncengi', 'imigran', 'gelap', 'yaman', 'india', 'tamil', 'burma', 'rohingya', 'latih', 'kaum', 'penjajah', 'inggris', 'belanda', 'dulunya']",waspada masyarakat dunia netizen internasional menilai akalsehat propaganda agen mossad peliharaan dolar sinagong belanda israel ingris lihatlah sejarah palestina yahudi sejarah sejarah perlawanan masyarakat bersatu jilid tkr mujahid pejuang waspada kaum penjajah memboncengi imigran gelap yaman india tamil burma rohingya latih kaum penjajah inggris belanda dulunya,1
ular kok dipelihara lambat laun ya menggigit tuan nya sampe mati,"['ular', 'dipelihara', 'lambat', 'laun', 'menggigit', 'tuan', 'sampe', 'mati']",ular dipelihara lambat laun menggigit tuan sampe mati,1
terserah kemanausir saja pengkhianatrohingyaharusnya penjajah inggrislah yg hrs bertanggung jwbunhcradalah produk penjajahkok d tampung mending menampung anjing bisa setiadr pd rohingya,"['terserah', 'kemanausir', 'pengkhianatrohingyaharusnya', 'penjajah', 'inggrislah', 'hrs', 'bertanggung', 'jwbunhcradalah', 'produk', 'penjajahkok', 'tampung', 'mending', 'menampung', 'anjing', 'setiadr', 'pd', 'rohingya']",terserah kemanausir pengkhianatrohingyaharusnya penjajah inggrislah hrs bertanggung jwbunhcradalah produk penjajahkok tampung mending menampung anjing setiadr pd rohingya,1
usir sajaimigran gelap karena rohingya ini sering jd pembelot pngkhiatkembalikan saja itu tanggung jawab penjajah inggrisitu yg dtng di indonesia adalah bentuk modus penjajan baru,"['usir', 'sajaimigran', 'gelap', 'rohingya', 'pembelot', 'pngkhiatkembalikan', 'tanggung', 'penjajah', 'inggrisitu', 'dtng', 'bentuk', 'modus', 'penjajan']",usir sajaimigran gelap rohingya pembelot pngkhiatkembalikan tanggung penjajah inggrisitu dtng bentuk modus penjajan,2
kita dukung secepatnya pemerintah dan uhncr untuk mengembalikan pengungsi rohingya di kedua negara ya itu banglades dan mienyenmar semua negara asean harus ikut mengurusi untuk demi kebaikanjanganlah pemerintah mienyenmardendam sama rohing kasian anak keturunan yg nggak tau apa apa jadi korban belajarlah sama negara indonesia nggak ada dendam kisah kisah dahulu semoga nantinya orang rohing bisa di data kependudkan atau ktp agar kedepanya lebih baik jika tidak di akui sebagai warga seterusnya terlontang lantung siapa yang di susahkan negara kita nkri,"['dukung', 'secepatnya', 'pemerintah', 'uhncr', 'mengembalikan', 'pengungsi', 'rohingya', 'negara', 'banglades', 'mienyenmar', 'negara', 'asean', 'mengurusi', 'kebaikanjanganlah', 'pemerintah', 'mienyenmardendam', 'rohing', 'kasian', 'anak', 'keturunan', 'nggak', 'tau', 'korban', 'belajarlah', 'negara', 'nggak', 'dendam', 'kisah', 'kisah', 'semoga', 'rohing', 'data', 'kependudkan', 'ktp', 'kedepanya', 'akui', 'warga', 'terlontang', 'lantung', 'susahkan', 'negara', 'nkri']",dukung secepatnya pemerintah uhncr mengembalikan pengungsi rohingya negara banglades mienyenmar negara asean mengurusi kebaikanjanganlah pemerintah mienyenmardendam rohing kasian anak keturunan nggak tau korban belajarlah negara nggak dendam kisah kisah semoga rohing data kependudkan ktp kedepanya akui warga terlontang lantung susahkan negara nkri,1
ya allah semoga orang rohingnya mendapat tempat dan kewarganegaraan supaya tidak terombang ambing,"['allah', 'semoga', 'kewarganegaraan', 'terombang', 'ambing']",allah semoga kewarganegaraan terombang ambing,3
usir rohingnya ilegal,"['usir', 'ilegal']",usir ilegal,2
suruh ke negara palestina ajah woedisana biar ikut membantu kemerdekaan negara palestinasayakira kalok mereka ikut membantu dan berjuang dinegara palestine kemungkinan besar mereka akan lebih dihargai dan diterimah dengan baikdaripada di idn yg bisa menimbulkan kerusuhan,"['suruh', 'negara', 'palestina', 'ajah', 'woedisana', 'biar', 'membantu', 'kemerdekaan', 'negara', 'palestinasayakira', 'kalok', 'membantu', 'berjuang', 'dinegara', 'palestine', 'dihargai', 'diterimah', 'baikdaripada', 'idn', 'menimbulkan', 'kerusuhan']",suruh negara palestina ajah woedisana biar membantu kemerdekaan negara palestinasayakira kalok membantu berjuang dinegara palestine dihargai diterimah baikdaripada idn menimbulkan kerusuhan,1
kl dr jaman dulu kenapa kok br sekarang ngungsinya bro usir aja lah bikin masalah indonesia aja,"['jaman', 'br', 'ngungsinya', 'bro', 'usir', 'bikin']",jaman br ngungsinya bro usir bikin,1
yajuz dan majuz mulai datang,"['yajuz', 'majuz']",yajuz majuz,4
maaf bukannya tidak mempunyai jiwa keprimanusiaan tetapi orang rohingya bisa berbahaya jika di biarkan bebas di indonesia orang indonesia itu terlalu baik dan kebaikan orang indonesia bisa saja disalahgunakan mereka orang rohingya bisa saja datang dan beranak pinak di indonesia barulah orang indonesia terutama orang aceh di usir dan terjajah di negeri sendiri lihat sejarah israel dan palestina sudah di tolong malah menjajah kita tidak tahu bagaimana kedepannya tetapi alangkah lebih baiknya kita mencegah dari sekarang jangan sampai sejarah penjajahan terulang kembali jangan sampai indonesia terjajah di negeri sendiri jika terjadi penjajahan negara ikut rugi terutama rakyat yang akan hidup menderita tolak rohingya,"['maaf', 'jiwa', 'keprimanusiaan', 'rohingya', 'berbahaya', 'biarkan', 'bebas', 'kebaikan', 'disalahgunakan', 'rohingya', 'beranak', 'pinak', 'barulah', 'aceh', 'usir', 'terjajah', 'negeri', 'lihat', 'sejarah', 'israel', 'palestina', 'tolong', 'menjajah', 'kedepannya', 'alangkah', 'baiknya', 'mencegah', 'sejarah', 'penjajahan', 'terulang', 'terjajah', 'negeri', 'penjajahan', 'negara', 'rugi', 'rakyat', 'hidup', 'menderita', 'tolak', 'rohingya']",maaf jiwa keprimanusiaan rohingya berbahaya biarkan bebas kebaikan disalahgunakan rohingya beranak pinak barulah aceh usir terjajah negeri lihat sejarah israel palestina tolong menjajah kedepannya alangkah baiknya mencegah sejarah penjajahan terulang terjajah negeri penjajahan negara rugi rakyat hidup menderita tolak rohingya,1
bersukaurlah kita tdk di takdirkan seperti rakyat rohingya mau gimanapun mereka itu jga manusiadan mahkluk ciptaan alloh swt yg lagi kena musibah dan menjalani takdirnya klo tdk bisa bantu atau tk mau bantu jganlah di hujat kita doakan aja yg terbaik bagi mahluk alloh swt ini yg ber etnis rohingya ini,"['bersukaurlah', 'takdirkan', 'rakyat', 'rohingya', 'gimanapun', 'jga', 'manusiadan', 'mahkluk', 'ciptaan', 'alloh', 'swt', 'kena', 'musibah', 'menjalani', 'takdirnya', 'bantu', 'tk', 'bantu', 'jganlah', 'hujat', 'doakan', 'terbaik', 'mahluk', 'alloh', 'swt', 'ber', 'etnis', 'rohingya']",bersukaurlah takdirkan rakyat rohingya gimanapun jga manusiadan mahkluk ciptaan alloh swt kena musibah menjalani takdirnya bantu tk bantu jganlah hujat doakan terbaik mahluk alloh swt ber etnis rohingya,4
jgn ributdi indonesia ada yg jadi pahlawan buat rohingyajadi nanti tambah pahlawan di indonesia harus masuk sejarahini namanya pahlawan penghianat dari indonesia buat rohingyaakhir cerita rohingya minta disediakan tanah minta dibangun kan kota minta merdeka minta dibentuk negara buat rohingya puas buat penghianatindonesia dapat apa,"['ributdi', 'pahlawan', 'rohingyajadi', 'pahlawan', 'masuk', 'sejarahini', 'namanya', 'pahlawan', 'penghianat', 'rohingyaakhir', 'cerita', 'rohingya', 'disediakan', 'tanah', 'dibangun', 'kota', 'merdeka', 'dibentuk', 'negara', 'rohingya', 'puas', 'penghianatindonesia']",ributdi pahlawan rohingyajadi pahlawan masuk sejarahini namanya pahlawan penghianat rohingyaakhir cerita rohingya disediakan tanah dibangun kota merdeka dibentuk negara rohingya puas penghianatindonesia,0
