text,cluster
kami negara hukum siapa saja masuk negara kami tanpa data tidak boleh itu sudah melanggar hukum negara kami dan hukum internasonal kami punya hak atas negara kami tidak ada yang berhak mengatur hukum kami sebab itu rumah kamibrdan perlu di mengerti di pahami dunia negara kami tidak berikan pernyataan bahwa negara kami adalah rumah penampungan pengunsi permanen dan menetap selama nyadan kami tidak layak anggaran kami keuangan kami dan lain lain di peruntuhkan buat pelarian pengunsi ini bukan masalah kami ini masalah organisasi dunia yang layak seperti itubrkami bukan tak punya agama apa lagi tidak punya rasa kemanusiankami hanya menjaga dan mencintai negri kami dari orang orang yang tak jelas mengatas namakan agama dan kemanusiaan,1
let me remind people here indonesia never take part in un convention about refugees and has no part in protocol brso indonesia is not obligated to shelter them these people however the rohingya that recently came to aceh is not refugees from myanmar these people is the victim of human trafficking and not stranded here they are planned to be trafficked to indonesia they are illegal imigrants from the shelter in bangladesh un you take back this people brbreven if indonesian or malaysian start to butcher them there is no law can justify this two countries they are illegal immigrant and not grateful for what the people of indonesia have done for them …,6
the rohingya ethnicity often throws tantrums they do not know to be grateful food donated by residents is thrown away many protest that the food given is small even though acehnese themselves live in poverty and hunger there have been cases of rohingya youth raping their rohingya girls in exile they often run away from censorship naturally acehnese people are afraid because they are afraid of increasing crime in aceh,5
it should be explained that aceh at first was very accepting of the rohingya ethnicity but after they accepted well the attitude of the rohingya ethnicity they didnt even know thank you and did not respect the locals they often threw tantrums they arbitrarily threw away the food given they complained that the food given to the rohingya ethnicity was very decent and luxurious for us acehnese people even though many acehnese live poorly and starving,5
we dont want indonesia face the same thing like palestine in the future,5
refuse,0
its better rohingya peoples back myanmar or bangladeshrohingya peoples is the bangladesh community,6
thank you al jazeerabrnow im happy the world see that indonesian dont want rohingya to come to our country again and againbrtake rohingya out from indonesiabrbrfor unhcr i want to say fk you,3
but you still would not want to relate to how people in western countries feel about massive refugees with so much difference in culture and religion,4
fyibrprov aceh is the poorest province in indonesiabrso dont give them any cases any more,0
say no to rohingyabrkatakan tidak kepada rohingya,1
we reject the rohingya not because of human rights issues racial or religious differences but because their behavior is very bad they threw away aid damaged camps polluted fish ponds dumped samoah carelessly slandered harassed volunteers even though we have prioritized helping them over our relatives we provide houses allowances free electricity free water free education free health care when many of our relatives are still in need rohingya are cowards who ran away from the battlefield they have no patriotism and they are never grateful these are the facts the world needs to know,5
kami bangsa indonesia tidak menerima rohingyaallahu akbaarrrrrrmerdekaaaaa atau matiiiiibrbrmerdekaaaa indonesiaaaa,1
dont look at it from the perspective of refugees look at the indonesian people there are still many who are still poor and suffering the refugees who come are human traffickers by irresponsible individuals international media is increasingly adding to the problem with its news,4
stop rohingya plss,0
harusnya mereka angkat senjata ke pada militer myanmar hidup terhina mati secara terhormat,1
terus galang persatuan wahai rakyat aceh satukan kekuatan kalian tolak pengungsi rohingya gelar demo tolak rohingya sampai mereka semuanya tak ada satupun yg tersisa awas ada agenda asing yg mencoba bermain diaceh kususnya indonesia umumnya awasss ada agenda asing yang sedang di jalankan usirrrr tanpa pandang bulu u s i r r r,1
them we support our muslim brothers in palestine brbralso them get out in our homeland rohingya muslim,2
come on read the lines the boat depart from bangladesh there were no refugeee only illegal immigrant from bangladesh all of them already holder of unhcr card for refugees from bangladesh how many time must we accept the rohingya being refugees does not made them a right to breach indonesian border and landed,4
the history of the arrival of israel jews to palistine ast the time became a warning of the indonesian people and nationbrso it is natural that the indonesian and people reject the arrival of bangladeshi rohingya illegal immigrant for the sake of the peace of the indonesian people and nationbrbravo indonesian peoplebrunited to defend the integrity sove reignty the country is fixed peice,6
makan tidur gratis lu anjing d negara wngentot bkin anak lu ddgn gratisyg biayain anggaran negarakontol lu anjjng,0
rohingya are not refugees but illegal immigrant camouflaging as refugees refugees risk their life from being oppress but rohingya pays bangladeshi agent to ferry them to their desirable countries with an active handphone and monies furthermore their idiotic stubbornness and harsh attitude couldnt be accepted by other sea peoples as malaysian we had enough of them and wish all of them will be deported to their country of origin,4
the government amp the rich people of indonesia pls do something to help the soonest more boats are coming😢 dont burden the poor,6
anyone could end up a refugee one day in another country just think about how you would feel if you were rejected because of the actions of a few,4
go away rohingya people forever from indonesia theyre not welcome 👎👎👎👎,6
no refuges anymorebrbrsay no to rohingyabr😑😑😑,4
considering they bad attitudebetter if they go back to coxs bazaar,7
i think qatar should take care all of them right qatar your muslim brother and sister too🤪🤣,2
getout unhcr getout rohingnya from my country indonesia,3
mereka datang meminta pulau dan membuat kekacauan mereka datan untuk merampok bukan meminta perlindungan,1
dont compare rohingya n palestine its totally different,0
bring them to islam country 🙏🙏🙏🙏,3
arent islamists are brothers and sisters 😂😂😂😂,0
maybe the arabs are ready to accommodate the rohingya because sorry we are not stupid and kind like you we saw palestine being colonized by israel we dont want that to happen to us j,5
i dont see islamists march on the streets for rohinya courses 😂😂😂😂,0
tell rohingya immigrants to leave indonesia coxs bazar bangladesh is a place for illegal rohingya immigrants not indonesia,6
they are not refugees they are illegal immigrant,4
indonesia has sent food for millions of hamass why moslems refuge only thousands it is a hypocrisy,5
people still questioning indonesian humanity 😂 the top country for charities in the world for sixth year in a row and still doing it until now brso i asking everyone who question my country humanity quotwhat do you do for humanity quot,3
take back in myanmar take back to big bos unhcr,7
unhcr bangladesh is a group that sells humans to be sent to indonesia you are a mafia by promising rohinians and bangladeshis that you will live in luxury and be facilitated by everyone in indonesia are you sure in our country there are still many who are poor and need help go away from our countrybrbrtheir number is more than they are illegal bangladeshi immigrants why not take them to your country do you know what their nature is like in malaysia the intimidation of bangladeshis and rohinians against us natives usurp and confiscate our land,6
i stand for aceh go from my country oh rohingya,7
emely bojovix kamu gk usah bicara hamimigran gelap suka membuat anakbawa saja etnis rohinya ke country you emely bojovix,1
send them back to whichever country that comments indonesia is not doing enough see how their citizen reacts illegal immigrants are not refugees theyre not welcome and have overstayed and overcrossed the welcome guests should stay a few days and leave not longterm longterm is called koskos or hotel you must register and pay accordingly,4
they are not refugees they illegal immigrant,4
they are not southeast asian tell their people in the south to take care of it,6
save aceh 💪,0
they are not refugee but imigran they even pay from banglades camp to indonesia by boat they have cellphone and unhcr card from banglades so we need send back them to where they came from in indonesia their behavior is not good we provided food aid but they threw them into the sea because we didnt allow them to go ashore and when we accommodated them they protested about the portions of food they were given even though the portions were the same as indonesian people eat they also commit criminal acts in aceh such as stealing raping and so on and there are many more bad behaviors of rohingya in aceh so that aceh is already at the limit of patience and doesnt want to accept them anymore,5
islam always making trouble,0
bukan hanya warga aceh kami seluruh rakyat indonesia menolak keras imigran gelap rohingnya ini bukan tentang kemanusiaan tapi tentang kedaulatan indonesia mereka bukan datang sebagai pengungsi tapi tinggal selamanya di indonesia tolak dan usir rohingnya,1
they probably thought indonesia is the country that would give them asylum but we actually never ratified any of agreement regarding to refugee with unhcr we just temporarily accept them before unhcr settled them in the country that receive them,3
as a malaysian i truly understand the indonesian we have rohingya refugeesvery problematic people,6
they are not refuges they are illegal imigran even if they are refuges they should be verified first from unhcr they are not verified and enter our country illegally they are not even from myanmar they pay each person to the people smugling syndicate to help them enter indonesia,4
rohingya have bad attitude,6
al jazeera can only report on those that are visible and receive lowquality gossip rohingya were accepted in but they made a lot of chaos that caused conflict among acehnese people as in malaysia rohingya only made chaos after chaos even to the point of asking for land we indonesians do not want something like what happened in our brother country malaysia to be repeated here brrohingya also come not as refugees victims of war but they come as illegal immigrants with human trafficking intermediaries whose profits reach billion rupiah in this shipment brmany rohingya are fleeing in shelters as they await their final journey to malaysia and singapore brtry to gather the real news instead of just collecting cheap gossips among you to lead international public opinion in the wrong direction,6
indonesia is a better place for them to live dont come to malaysia plz,6
ini bukan pengungsi tapi imigran gelap yang suka buang sampah berak sembaranganorangnya susah diaturpemalasberanak banyak tapi tidak memikirkan masa depan anaknya amp agama cuma dipakai kedok untuk memuluskan pindahnya,1
we can not accept the refugees anymore they should go backt to myanmar our duty is to push myanmar goverment to accept them again if they dont want to uno must send un soldier troop to protect them in myanmar that is the best solution,4
they might be another israel in someone’s land fact those people already make the local angry they welcomed them at first but they can’t integrate with the local throw the food they have and did violence rape and stealing so what uncr wants now they are more like bangladesh i think it’s more suitable for them rather than indonesia,5
for those of you who corner indonesia please bring rohingya refugees home to your country indonesia has never ratified the un convention on refugees we have no obligation to accept and accommodate them and for indonesian citizens who want to accept the rohingya please accept them but not in indonesia there are still many poor indonesians who need attention 😠,3
dulu masyarakat aceh menerima rohingya banyak yg membantu tp lama lama banyak yg kurang tertib bahkan banyak yg ngelunjakwajarlah skrg masyarakat aceh menolak rohingyabuat media jazeera jgn menyalahkan indonesia 🇮🇩 bila perlu kamu saja yg menampung rohingya 😂,1
stop using word refugees to illegal immigrants they have money to pay the illegal agency to move and cellphone,4
im sorrytheir attitude is bad,0
pelarian rohingya kurang ajar banyak tanaman pohon di curi orang rohingyamereka beranak pinak tidak punya adab ingin makan gratis minum gratis sementara berak atau buang air besar tidak mau membersihkan kanya sangat kurang ajarsebaik nya anda lihat di kondisi lapangan kelakuan buruk etnis rohingya itu menentang kaidah dan syariat islammerekalah bikin asusila sehingga rakyat aceh menderita mereka bertambah banyakdan mencuri buah buahan warga aceh,1
the elephant in the room rohingyas definitely have strong south asianess embedded in them which unfortunately clashes with a lot of southeast asian customs and society regardless of religion,0
muslim ummah 😅,2
go away from indonesia gooo awayy,5
in the meantime affluent individuals in the uk are expelling asylum seekers from their countries see bbc news today indonesia has rejected them because many asylum seekers attempted to reach third countries and were promised assistance by unhcr many of them remain in indonesia after more than years furthermore we have not ratified the convention unlike uk unhcr has merely pressured us to accept them providing us with minimal financial support in fact a unhcr representative mentioned that rohingya children had gone without food for hours however here in indonesia we still grapple with issues of malnourished children some of them have not had a meal in over a day,3
this phenomenon is a form of human trafficking because there is a smuggling agent behind it,0
indonesia has more than island they can’t spare one for these outcast,0
they should back to their country,7
cerdas bro ini tuh permainan barat biar kita di pecah belah dan menjauhkan dari isu palestina,1
they are not a refugees but illegal imigrant theres a diffrence here take all of them if you can take care of them in your country but not in indonesia unhcr and iom are scam af,4
no more refugesbr😑😑😑,0
only a stupid country is willing to accept refugees of different religions and cultures who can cause problems for their own country and nation it would be much wiser if refugees were accommodated and handled in their own country by creating a refugee zone under the un flag,4
kami menolak imigran gelaptolong hormati keputusan kamitidak rela negara kami mereka injak,1
they are causing chaos in indonesia they dont know whether they are stranded refugees we couldnt believe it we were stranded in aceh on purpose,0
rohingya are muslims indonesian are also muslims muslims always say all muslims are like brothers and sisters if indonesian do not help rohingya how you would expect other countries who are not muslims to help these poor muslims,2
usir rohingya amp yahudi pesek dari nkri,1
a hrefhttpwwwyoutubecomresultssearchqueryindonesiarejectsrohingyaindonesiarejectsrohingyaa,0
usir penjajah berkedok pengungsi bubarkan unhcr indonesia mogok bayar pajak pemilu pemerintah harus mengembalikan imigran ilegal,1
penjajahan yang terorganisir,1
welcome❤,0
ternyata cukong dan mavia pengungsi rohing ketakutan klu kapalnya diancam mau di bakar gitu aja kok repot,1
inviting danger,0
the rohingya are fleeing from bangladesh refugee camp because the rohingya left their mother land arakan to safe their life from the genocide but here in the bangladesh same like as myanmar the kidnaper and terrorist have been kidnaping rohingya and killing so the rohingya are not safe in bangladesh rohingya are fleeing from bangladesh to search a batter life and life security freedom of movement,6
maaf kami menolak bukan tanpa alasan brkami hanya bisa membantu sekedar bantuan kelangsungan hidup sebagai wujud rasa kemanusiaan tidak untuk memberi lahan mereka menetap di negara kami karena berdasarkan undangundang internasional pun mengatakan hal demikian tolong hargai kedaulatan negara kami 🙏,1
tolak rohingya hati ini modus bentuk penjajahan gaya baru brmereka kalau diterima mereka akan menghubungi kawannya dan akan lebih banyak lagi yg akan datang kesinibrmereka itu bayar utk kesininya dan bukannya terdamparbrmereka kalau sdh banyak mereka akan menguasai dan mengusir warga lokal seperti yang telah terjadi di myanmar malaysia serta contohnya di palestina,1
rohinyah paling suka membuat anaklihat saja anak mereka banyak,1
selamat datang sodara ku rohinya kawtanah aceh kita serumpun rohinya indonpak jokowi beri mereka ktp🤣🤣🤣,1
if these people go to the philippines the terrorist groups here will recruit them so please dont come in here,7
indonesia in this current state simply cannot afford to accept them or any refugees from any countries indonesia is not a member of un refugee convention and we werent a member for a clear reason thus making us not responsible for their well being yet somehow every month there will be hundreds if not thousands of them coming to our islands we are not a rich country yes we do have a trillion gdp but we also have a tons of people millions of people to be precise that the government must feed and take care among those millions more than of them are still living under national poverty line it isnt fair that those immigrants comes to our land and expecting to be fed and taken care by our government yet there are still millions of natural born indonesians that cant eat cant have a proper house and cant have a sustaining job millions it was earlier this year when we finally able to become an upper middle income country it was just yesterday we finally had our own universal healthcare we are still struggling america europe japan and the other g members were all rich and they are also a member of the convention australia is also one of them go there not here it isnt that we do not want them here it is just that we simply cant afford them if they come years from now when we become a high income nation than be my guest or even be my neighbor but now with the current conditions we cant handle them go to malaysia theyre richer than us their gdp per capita is significantly higher than us they have a lot of bangladeshi people reside over there and theyre also a muslim majority country with significantly lesser population in malaysia compared to indonesia i think they can handle rohingya way better than us,4
rohingya make many problems in malaysiabrbrstealing rape scamming,0
not only indonesia we also dont need any rohingya in our country,6
we dont need trash ❌,0
setelah perut mereka kenyang kembalikan lagi ke laut,1
they are the people who want to take the whole myanmar as their land not just a piece of land not just rakhine state and the same to whole asia in fact they are all from bangladesh their ethnic and background are bangladesh cannot control the populations because the biggest problem is that their birth rates are very high their government cannot control it if they want to stay in power over crowded there then they created the name rohingya some crossed border and stayed inside myanmar some were back to camp later during incidents and some in camp they have been to myanmar because un feed them and pay them in bangladesh camp but whole bangladeshs country birth rate is very high everything and they take name as from myanmar just blame to myanmar as they are native and they will go to better countries if million of those bengalis live in indonesia then they will claim that land is their same like they claim whole rakhine state of myanmar as theirs they never enough by giving lands to them if they got whole myanmar they will claim again thailand as theirs as well if they do birth controls and dont make troubles in any land they live then they would be ok in bangladesh and other countries but they dont they can be danger to local even in myanmar have you even seem how myanmar people look alike myanmarese are just like indonesian people just like asians but those bengalis are totally different they are absolutely from bangladesh ethnic language culture and behavior all the same there are over million bengalis still living in rakhine and other states in myanmar go see for yourself there they are not in danger by state in myanmar but the are the danger to others just about to any ethnics if not their kind already over millions population in bangladesh alone and million in myanmar alone and population is still keep booming most of them cannot even speak burmese and they dont know the places well about myanmar because they have never been to there in myanmar every can speak burmese no matter whatever the ethnic they may be this thing cant just blame to myanmar because they want to dominate the bigger land as they can in whole asia as per their population grow they cant just live peacefully along with any other different ethnics regardless of the religious look at what had happened in malaysia actual pressure main source should put to bangladesh gov who let them ride boat and allow to have over crowded population if just blame to myanmar that problem will not stop and they will keep on coming because land spaces in bangladesh becomes smaller as they grow more unlimited even if give them whole myanmar they will make massive population again and they still will still keep on coming what they really want is invasion and better lives many of them have more than one wives regardless of their budgets they will make a lot of children without thinking whether can they support them main source of problems are bangladesh birth rate and creation of rohingya to claim as from myanmar if they think myanmar is not safe then they wont even live there but they do live so many of them some cities like pyay meiktila they are nd major populations next to burmese even more than other ethnics they will keep coming many of them never stop they will never stop population grow and they will give their burdens to asia,5
indonesia menolak rohingya,1
hati warga acehini sudah mau pemilu orang asing berdatangan utk bantu kumpulkan suara ingat amp waspada perangkat aparat pemerintahanasn dari gubernur sampe bawahan desa sudah teken kontrak sama salah satu cawapres,1
bunch of filth as an indonesian muslim myself they dont behave well in other country they violate local law physically and verbally abuse our acehnese people they also dont know gratitude in both indonesia and malaysia malaysia has closed its door for rohingyas and indonesia will follow,6
they re not stranded but they fled yfrom refugees camp in banglades near the border with myanmar,4
they not stranded they come and want to stay in aceh but the local people dont want them they want to kick them out,5
ဘလုပ် ရမှာ လဲ,0
🤲🤲🤲🤲🤲🤲,0
usir rohingya jangan biarkan mereka berkembang biak di indonesia,1
tolong berita ini disampaikan kepada pak wapres ya,1
usirrr,0
usir aja dari tanah indonesia kelak bisa membahayakan anak cucu kita,1
kalo pengungsi ini buat kacau kya si tizionisdi palestineingat kita punya dayak yg tanpa menyentuh bisa buat orang lain pergi k keunbrkekuatan indonesia gagah beranibr padang mahsyar,1
kalau bisa cepat pulangkan debelum mereka merasa nyaman jangan pernah mau menerima kaum penjajah berkedok kamanusiaan,1
usir para penjajah berkedok agama,1
secepatnya diusir sebelum dia sex bebas di indonesia dengarkan kata kata sya walaupun sya masyarakat gembel dengarkan suara sya usir cepat sebelum terlambat,1
rohinya hewan,0
indonesia gak butuh masyarakat rohingya,1
mungkin mereka ini sekelompok manusia yg dibayar untuk suatu tujuan tertentu salah satunyapemecah konsentrasi isu palestina dan israel,1
masyarakat rempang di piting dihalau dari kampung halaman mereka brpengungsi rohingya pulak di beri makan gratis di gadang di beri pulau lagi untuk tempat mereka tinggal sesungguhnya pemerintah indonesia sangat mulia hatinya dengan rumpun barunya😂😂,1
ayo pak mahfudz perjuangkan nkri,0
ya usir laaahh untuk rohingya bisa bilang kemanusiaan tapi buat rempang melayu kok gk ada kemanusiaan padahal itu rakyatnya sendiri,1
belanda jilid dua😂😂😂 ujung nya aceh jd budak,0
diplomasi kemanusiaan tai pikir rakyat sendiri aja gak mampu,1
jangan tertipubra hrefhttpsyoutubeqescmdsiafdqgethkkvmjuhttpsyoutubeqescmdsiafdqgethkkvmjua,0
pak prabowo gmna keamanan negara kitatni al nya kok tidak berkutikjls² mereka imigran gelap berkedok pengungsi,1
bersyukurlah kita punya tanah air sedangkan mereka jadi bangsa teeusir dimanakah sedikit rasa kemanusiaan kita ketika kita tidak mau menolong mereka yg sedang kesulitan,1
pemerintah harus tegasjanga sampai mereka para pengungsi membawa suatu wabah pennyakit,1
negri ini kini saatnya belajar dari sejarah dimana sampai hari ini bangsa ini betapa sangat takberdaya menghadapi sepak terjang bani balawi merusak tatanan negri ini dgn modus membela agamamereka dimasa silam sengaja didatangkan oleh penjajah dari belanda untuk melemahkan perjuangan kaum pribumisekarang ditambah lagi dgn mendatangkan bani rohingnya ini adalah modus dari penjajah dari barat melalui pasal sakti yg dimiliki oleh pbbtujuannya untuk mengganggu stabilitas di dlm negri yg berdampak pada pertumbuhan ekonomi dinegara ini agar selalu terpuruk sehingga negri ini selalu menyandang ketergantungan abadi pada dana pinjaman luar negeri kita memiliki sumberdaya alam yg berlimpahnamun kita hanya mampu sebagai bangsa peminjam dana abadi dari luar negeri,1
lebih cepat lebih baik rohingga kembalikan lgi ke banglades kalau engga mau tenggelamkan aja di laut,1
pemerintah harus tegas pemerintah buatkan tempat khusus buat mereka pinjamkan pulau yang terisolir buat mereka pulau yang jauh dari penduduk suruh unhcr buat bangunan kebutuhan mereka seperti yang ada di pulau galang termasuk penjara buat imigran gelap rohingya yang melakukan pelanggaran dan imigran yang hendak kabur tugaskan polisi dan tentara secara bergantian untuk mengawasi mereka semua imigran gelap rohingya dan pengungsi rohingya serta bangladesh yang tersebar di beberapa daerah di indonesia di satukan di pulau tersebut sampai negara mereka aman saya rasa itu tdk akan masalah buat mereka bukankah alasan mereka lari dari myanmar dan bangladesh karena keamanan nahhhh dipulau tersebut nanti mereka akan aman kecuali mereka punya niat dan tujuan lain datang ke indonesia dan pemerintah yang menentukan bukan mengikuti keinginan mereka yang ingin hidup bebas di tengah tengah masyarakat lokal dan pemerintah tidak usah mengikuti keinginan unhcr yg hanya bisa bawa mereka lalu dilepas begitu saja ditengah tengah masyarakat biar para etnis rohingya berfikir ulang lagi kalau mau datang ke indonesia karena sebenarnya kebanyakan mereka yang datang berharap hidup bebas seperti di malaysia kalau misalnya mereka terisolir mereka dengan sendirinya akan minta dipulangkan ke negaranya dan yang akan ke indonesia akan berfikir ulang lagi pemerintah harus hati ingat pernyataan benyamin netanyahu pm israhell zionis nazi setelah makin hebohnya julid fisabilillah yang dipelopori oleh rakyat indonesia israhell pastinya tdk mau diam netanyahu mengatakan kalau mereka ingin menjadikan indonesia seperti palestina dan terbukti kan setelah pernyataannya para imigran gelap rohingya dan bangladesh berdatangan ke indonesia a hrefhttpwwwyoutubecomresultssearchquerynkrihargamatinkrihargamatiabrbrsemua rakyat indonesia harus bekerja sama untuk melakukan sweeping kalau tertangkap bawa mereka ke kantor polisi lalu hubungi unhcr untuk jemput mereka jangan kasi hati biarkan unhcr dan iom yang bekerja jangan cuma taunya terima gaji saja dan ngutil uang donasi,1
kalau hanya bulan gak masalah mereka di indonesia tapi jangan menetap selamanya di indonesia itu nama nya menjajah indonesia usir mereka jangan sampai berkembang biak di indonesia,1
mengapa tidak pergi ke filipina bukankah presiden duterte sendiri pernah menyatakan dia bersedia menerima warga rohingya ini ke negaranya dengan hati terbuka,1
usit imigran ilegal,0
rohingya sudah makin banyak berdatangan ke indonesia kenapa pemerintah hanya diam diam aja,1
usir aja lah beban negara dinegri sendiri jg banyk banget yg miskin makan ga bisamasih perlu bantuan pemerintah ngapain urusin rohingya😮,1
apa ideologi pancasila sudah berubah ketuhanan yang maha esa kemanusiaan tak adil tak beradap persatuan warga asingkeadilan sosial bagi warga asing,1
kalo berhak mengusir kenapa gak diusirmalah nunggu merekadatang lagi,1
jgn banyak omong pak sediakan kapal trs pulangkan enek saya dengernya tentang rohingya,0
kasian sama balitanyabrtapi nggx sama yg dewasanya tubuh masih lengkap tapi keliatan bngt jiwa pemalas nya pasang muka dengan cara memelas lgbringet ati brquotorang yang terlihat kasianbrbiasanya memiliki sisi yang menyebalkan,1
welcome to the jungle🦍,0
pak mahfud semua rakyat indonesia sudah tahu penjajah kedaulatan nkri sebenarnya pbbmelalui unhcrsengaja mendatangkan imigran gelap rohingya bangladesh ini beramai ramai masuk ke indonesiamau jadikan pelestina versi asia jilid waspada rakyat indonesia kedaulatan nkri tidak baik baik saja rakyat indonesia rapatkan barisan jaga kedaulatan nkri dari sabang sampai merauketutup unhcr di indonesia kalau mau aman dan selamat kedaulatan nkri penolakan rakyat indonesia penentu masa depan generasi bangsa kita dan menyelamatkan kedaulatan nkri,1
kirim saja mereka ke palestina untuk membantu sesama muslim di sana kalau mereka butuh kerja kirim saja ke ukraina disana masih banyak membutuhkan tenaga masuk akal kan yg setuju like,1
krna ada rsa kemanusiaan itulh rohingya selalu berdatangan,0
langsung bertindak pak jangan kebanyakan bacot😅,0
indonesia tidak memanusiakan manusia maka masyarakat juga ikut² oknum² itu lahhh contohnyaa melawan begallmaling malah korbanyang di begall yang di hukumdi penjara bertahun tahun sampai sini bapa² om² mas² paham kan,1
orang plinplan gini mau nyapres,1
suruh tampung di gedung dpr kalau wakil rakyatnya diam aja,1
pemerintah tidak tegas brbra hrefaboutinvalidzcsafezaa hrefaboutinvalidzcsafezaa hrefaboutinvalidzcsafeza nampak ketegasan negara kita sangat rapuh kalau ada campur tangan negara asingbrbrcina dan rusia kalau sudah memutuskan sesuatu dak peduli ama semua negarabrbahkan israel pun perang walau rugi negara mereka banyak dimusuhi negara mereka masih tegas ama keputusan merekabrbrindonesia lembek hampir semua aspekbrterlalu baik sebagai negara dimana ham di no kan bra hrefaboutinvalidzcsafezasehingga koruptor dapat ham juga kwkwkwkwkwkwkwkwkwkw,1
pak kenapa unhcr bisa memiliki kantor di indonesia,1
kalau kalian tidak mau nampung amerika nampung syarat harus di baptis semua,1
